scenario,run_index,duration_ms
sequential,1,3499.97
sequential,2,3502.01
sequential,3,3500.92
sequential,4,3497.91
sequential,5,3498.52
sequential,6,3501.13
sequential,7,3501.81
sequential,8,3501.16
sequential,9,3500.70
sequential,10,3499.30
sequential,11,3498.27
sequential,12,3500.43
parallel,1,975.48
parallel,2,974.31
parallel,3,974.48
parallel,4,974.42
parallel,5,974.70
parallel,6,975.74
parallel,7,974.20
parallel,8,973.79
parallel,9,974.50
parallel,10,973.68
parallel,11,974.57
parallel,12,974.11
